,game_id,player_id,position ,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_scrambles,designed_rush_att,comb_pass_rush_play,comb_pass_play,comb_rush_play,Team_abbrev,Opponent_abbrev,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_yds_bonus,rush_yds_bonus,rec_yds_bonus,Total_DKP,Off_DKP,Total_FDP,Off_FDP,Total_SDP,Off_SDP,pass_target_yds,pass_poor_throws,pass_blitzed,pass_hurried,rush_yds_before_contact,rush_yac,rush_broken_tackles,rec_air_yds,rec_yac,rec_drops,offense,off_pct,vis_team,home_team,vis_score,home_score,OT,Roof,Surface,Temperature,Humidity,Wind_Speed,Vegas_Line,Vegas_Favorite,Over_Under,game_date,winning_team,winning_score,losing_score
22,201909050chi,AlliGe01,WR,Geronimo Allison,GNB,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GNB,CHI,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,30,49,GNB,CHI,10,3,False,outdoors,grass,65,69,10,-3.5,CHI,47.0,9/5/2019,GNB,10,3
23,201909050chi,SoweBr00,TE,Bradley Sowell,CHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,GNB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,7,10,GNB,CHI,10,3,False,outdoors,grass,65,69,10,-3.5,CHI,47.0,9/5/2019,GNB,10,3
38,201909080car,HendDa00,RB,Darrell Henderson,LAR,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,LAR,CAR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-2,2,0,0.0,0,0,2,3,LAR,CAR,30,27,False,outdoors,grass,87,53,3,-1.5,LAR,49.5,9/8/2019,LAR,30,27
43,201909080car,ManhCh00,TE,Chris Manhertz,CAR,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAR,LAR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,18,27,LAR,CAR,30,27,False,outdoors,grass,87,53,3,-1.5,LAR,49.5,9/8/2019,LAR,30,27
62,201909080cle,FlueDa00,RB,David Fluellen,TEN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TEN,CLE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,4,7,TEN,CLE,43,13,False,outdoors,grass,71,55,10,-5.5,CLE,44.0,9/8/2019,TEN,43,13
67,201909080cle,HarrDe03,TE,Demetrius Harris,CLE,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CLE,TEN,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,6.0,0,1,11,15,TEN,CLE,43,13,False,outdoors,grass,71,55,10,-5.5,CLE,44.0,9/8/2019,TEN,43,13
112,201909080dal,EngrEv00,TE,Evan Engram,NYG,0,0,0,0,0,0,0,0,0.0,0,0,0,0,14,11,116,1,22,0,0,0,0,0,0,NYG,DAL,0,0,0,0,0,1,31.6,31.6,23.1,23.1,25.1,25.1,0,0,0,0,0,0,0,71.4,57,0,52,76,NYG,DAL,17,35,False,retractable roof (closed),fieldturf,72,45,0,-7.0,DAL,44.0,9/8/2019,DAL,35,17
114,201909080dal,SmitDe04,WR,Devin Smith,DAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DAL,NYG,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,6,9,NYG,DAL,17,35,False,retractable roof (closed),fieldturf,72,45,0,-7.0,DAL,44.0,9/8/2019,DAL,35,17
135,201909080jax,HardMe00,WR,Mecole Hardman,KAN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,KAN,JAX,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,1,53,78,KAN,JAX,40,26,False,outdoors,grass,91,54,6,-3.5,KAN,49.0,9/8/2019,KAN,40,26
139,201909080jax,ConlCh00,WR,Chris Conley,JAX,0,0,0,0,0,0,0,0,0.0,0,0,0,0,7,6,97,1,21,0,0,0,0,0,0,JAX,KAN,0,0,0,0,0,0,21.7,21.7,18.7,18.7,18.7,18.7,0,0,0,0,0,0,0,93.1,28,0,44,76,KAN,JAX,40,26,False,outdoors,grass,91,54,6,-3.5,KAN,49.0,9/8/2019,KAN,40,26
156,201909080mia,MoorCh00,WR,Chris Moore,BAL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BAL,MIA,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,31,41,BAL,MIA,59,10,False,outdoors,grass,91,56,8,-7.0,BAL,41.0,9/8/2019,BAL,59,10
168,201909080mia,WaltMa00,RB,Mark Walton,MIA,0,0,0,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,MIA,BAL,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,1,0,0.0,0,0,4,8,BAL,MIA,59,10,False,outdoors,grass,91,56,8,-7.0,BAL,41.0,9/8/2019,BAL,59,10
192,201909080min,SmitIr01,TE,Irv Smith Jr.,MIN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,ATL,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,26,48,ATL,MIN,12,28,False,dome,sportturf,72,45,0,-3.5,MIN,47.0,9/8/2019,MIN,28,12
193,201909080min,JoneJu02,WR,Julio Jones,ATL,0,0,0,0,0,0,0,0,0.0,0,0,0,0,11,6,31,1,10,0,0,0,0,0,0,ATL,MIN,0,0,0,0,0,0,15.1,15.1,12.1,12.1,12.1,12.1,0,0,0,0,0,0,0,106.7,11,0,50,68,ATL,MIN,12,28,False,dome,sportturf,72,45,0,-3.5,MIN,47.0,9/8/2019,MIN,28,12
213,201909080nwe,HoltJo00,WR,Johnny Holton,PIT,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,PIT,NWE,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,45.0,0,0,7,10,PIT,NWE,3,33,False,outdoors,grass,66,62,2,-5.5,NWE,49.0,9/8/2019,NWE,33,3
216,201909080nwe,WhitJa02,RB,James White,NWE,0,0,0,0,0,0,0,0,0.0,4,26,0,9,7,5,56,0,32,0,0,4,4,0,4,NWE,PIT,0,0,0,0,0,0,13.2,13.2,10.7,10.7,10.7,10.7,0,0,0,0,22,4,0,18.9,54,0,33,47,PIT,NWE,3,33,False,outdoors,grass,66,62,2,-5.5,NWE,49.0,9/8/2019,NWE,33,3
231,201909080nyj,YeldT.00,RB,T.J. Yeldon,BUF,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUF,NYJ,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,2,3,BUF,NYJ,17,16,False,outdoors,fieldturf ,77,46,6,-2.5,NYJ,41.0,9/8/2019,BUF,17,16
240,201909080nyj,EnunQu00,WR,Quincy Enunwa,NYJ,0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,1,-4,0,8,1,0,0,0,0,0,NYJ,BUF,0,0,0,0,0,0,-0.4,-0.4,-1.9,-1.9,-1.9,-1.9,0,0,0,0,0,0,0,35.1,-4,0,65,92,BUF,NYJ,17,16,False,outdoors,fieldturf ,77,46,6,-2.5,NYJ,41.0,9/8/2019,BUF,17,16
257,201909080phi,SimsSt00,WR,Steven Sims,WAS,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,PHI,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,5,8,WAS,PHI,27,32,False,outdoors,grass,79,49,4,-10.5,PHI,44.0,9/8/2019,PHI,32,27
263,201909080phi,ElliAl01,TE,Alex Ellis,PHI,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,WAS,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,2,3,WAS,PHI,27,32,False,outdoors,grass,79,49,4,-10.5,PHI,44.0,9/8/2019,PHI,32,27
284,201909080sdg,PascZa00,WR,Zach Pascal,IND,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IND,LAC,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,23,37,IND,LAC,24,30,True,outdoors,grass,77,52,10,-6.0,LAC,44.5,9/8/2019,LAC,30,24
287,201909080sdg,CulkSe00,TE,Sean Culkin,LAC,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LAC,IND,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,1,2,IND,LAC,24,30,True,outdoors,grass,77,52,10,-6.0,LAC,44.5,9/8/2019,LAC,30,24
302,201909080sea,PeriSa00,RB,Samaje Perine,CIN,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CIN,SEA,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,1,1,CIN,SEA,20,21,False,outdoors,fieldturf,64,82,7,-9.5,SEA,44.0,9/8/2019,SEA,21,20
309,201909080sea,BellNi01,FB,Nick Bellore,SEA,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEA,CIN,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,3,6,CIN,SEA,20,21,False,outdoors,fieldturf,64,82,7,-9.5,SEA,44.0,9/8/2019,SEA,21,20
327,201909080tam,ToilLe00,TE,Levine Toilolo,SFO,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SFO,TAM,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,11,16,SFO,TAM,31,17,False,outdoors,grass,93,52,9,-1.0,TAM,51.0,9/8/2019,SFO,31,17
335,201909080tam,WilsJe00,WR,Bobo Wilson,TAM,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TAM,SFO,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,9.0,0,0,6,9,SFO,TAM,31,17,False,outdoors,grass,93,52,9,-1.0,TAM,51.0,9/8/2019,SFO,31,17
